Delivery_person_Age,Delivery_person_Ratings,Type_of_order,Type_of_vehicle,Time_taken(min),Distance
39,4.9,Buffet ,motorcycle ,30,7.601
24,4.9,Snack ,scooter ,22,7.563
30,4.1,Snack ,motorcycle ,43,11.008
35,4.8,Meal ,motorcycle ,48,13.829
33,4.5,Drinks ,electric_scooter ,19,13.969
39,4.7,Snack ,motorcycle ,21,10.923
31,4.3,Drinks ,motorcycle ,44,12.117
37,4.5,Drinks ,scooter ,26,1.553
37,4.7,Buffet ,scooter ,26,4.664
33,5,Meal ,motorcycle ,31,1.529
24,4.6,Meal ,scooter ,19,9.435
33,4.5,Snack ,scooter ,18,11.917
39,4.7,Meal ,motorcycle ,38,10.486
37,4.6,Snack ,motorcycle ,32,13.583
25,4.9,Meal ,scooter ,17,7.683
28,4.8,Buffet ,scooter ,11,9.193
38,4.7,Buffet ,motorcycle ,31,6.218
29,4.6,Drinks ,motorcycle ,43,10.427
31,4.6,Meal ,motorcycle ,25,9.327
25,4.8,Snack ,motorcycle ,22,9.18
35,4.9,Drinks ,motorcycle ,43,10.881
39,4.7,Buffet ,motorcycle ,42,10.565
38,3.9,Meal ,motorcycle ,42,12.1
35,4.7,Drinks ,motorcycle ,34,4.657
29,4.7,Snack ,motorcycle ,17,2.981
27,4.6,Snack ,scooter ,25,4.561
38,4.3,Meal ,motorcycle ,54,13.99
36,4.9,Buffet ,motorcycle ,21,10.642
26,4,Buffet ,motorcycle ,34,6.147
26,4.1,Meal ,motorcycle ,36,13.428
36,4.9,Drinks ,motorcycle ,17,9.327
21,4.7,Meal ,motorcycle ,16,1.49
35,4.7,Meal ,electric_scooter ,27,12.418
20,4.5,Meal ,motorcycle ,26,6.218
23,4.6,Snack ,motorcycle ,46,13.788
37,5,Buffet ,motorcycle ,29,9.08
26,4.8,Snack ,motorcycle ,23,9.315
29,5,Snack ,scooter ,11,12.161
26,4.9,Snack ,motorcycle ,28,16.637
29,4.8,Meal ,motorcycle ,25,9.193
29,4.7,Snack ,motorcycle ,11,3.018
21,4.9,Meal ,scooter ,26,4.395
22,4.3,Meal ,motorcycle ,23,3.109
31,4,Snack ,motorcycle ,39,11.917
20,4.5,Snack ,motorcycle ,11,3.116
30,3.9,Drinks ,electric_scooter ,32,12.117
36,4.8,Snack ,motorcycle ,43,10.868
24,4.7,Buffet ,scooter ,13,6.218
32,4.7,Buffet ,electric_scooter ,25,1.554
25,5,Drinks ,motorcycle ,27,9.313
27,4.5,Drinks ,scooter ,29,6.147
32,4.1,Buffet ,motorcycle ,33,10.867
23,4.7,Drinks ,motorcycle ,19,6.209
39,4.4,Meal ,motorcycle ,33,20.181
20,4.8,Snack ,motorcycle ,28,9.435
20,4.8,Drinks ,electric_scooter ,15,11.92
29,4.6,Meal ,scooter ,29,4.494
26,4.9,Meal ,scooter ,18,20.852
25,5,Meal ,motorcycle ,14,1.561
34,4.7,Snack ,motorcycle ,30,6.211
31,4.9,Snack ,motorcycle ,28,6.175
24,4.7,Snack ,motorcycle ,39,20.443
30,4.9,Meal ,motorcycle ,30,13.83
36,4.8,Buffet ,motorcycle ,36,19.374
36,4.4,Snack ,motorcycle ,37,20.857
26,4.7,Meal ,motorcycle ,43,20.852
30,4.6,Buffet ,scooter ,29,16.66
20,4.8,Drinks ,scooter ,25,4.718
33,4.7,Buffet ,electric_scooter ,15,7.763
29,4.6,Snack ,scooter ,24,11.008
34,4,Snack ,motorcycle ,39,13.767
36,4.6,Buffet ,motorcycle ,20,12.294
33,4.6,Buffet ,motorcycle ,15,2.985
22,4.8,Drinks ,motorcycle ,16,16.788
38,4.7,Drinks ,scooter ,19,1.532
27,4.9,Drinks ,scooter ,20,12.421
32,4.8,Meal ,scooter ,25,10.445
26,4.8,Snack ,motorcycle ,43,12.421
29,4.5,Drinks ,motorcycle ,15,19.659
31,4.5,Buffet ,motorcycle ,29,12.464
28,4.6,Drinks ,motorcycle ,14,6.146
21,4.8,Buffet ,motorcycle ,11,8.929
21,4,Buffet ,motorcycle ,19,7.79
30,4.9,Drinks ,motorcycle ,29,12.58
29,4.7,Buffet ,motorcycle ,11,5.992
20,4.8,Snack ,motorcycle ,14,1.53
28,5,Snack ,motorcycle ,15,13.736
25,4.7,Meal ,motorcycle ,16,10.706
29,4.6,Buffet ,motorcycle ,43,16.853
38,4.8,Buffet ,motorcycle ,20,3.105
39,4.9,Drinks ,motorcycle ,26,4.61
26,4.9,Snack ,scooter ,26,9.122
33,4.4,Meal ,motorcycle ,43,10.906
24,4.6,Snack ,motorcycle ,25,9.088
24,4.9,Buffet ,motorcycle ,28,6.232
33,4.5,Buffet ,scooter ,17,13.612
35,4.2,Drinks ,motorcycle ,44,13.611
27,4.2,Buffet ,motorcycle ,33,13.764
29,4.6,Snack ,scooter ,19,7.761
29,4.5,Snack ,motorcycle ,15,4.658
34,4.7,Buffet ,scooter ,27,19.343
20,4.7,Meal ,scooter ,25,2.985
29,4.8,Drinks ,motorcycle ,18,6.059
22,4.9,Snack ,scooter ,21,9.088
35,4.9,Buffet ,motorcycle ,53,10.417
32,4.4,Drinks ,motorcycle ,42,17.165
28,4.9,Snack ,motorcycle ,20,16.114
30,4.7,Meal ,scooter ,29,20.254
22,4.7,Snack ,scooter ,15,17.076
36,4.7,Buffet ,motorcycle ,30,7.79
23,4.8,Snack ,motorcycle ,28,19.762
22,4.8,Drinks ,motorcycle ,19,3.025
29,4.5,Meal ,motorcycle ,15,19.84
34,4.9,Buffet ,motorcycle ,50,17.076
38,4.1,Buffet ,motorcycle ,41,1.553
35,5,Snack ,motorcycle ,37,11.008
38,4.7,Drinks ,scooter ,28,9.435
32,4.3,Meal ,scooter ,35,10.281
20,4.5,Buffet ,motorcycle ,27,10.867
25,4.9,Buffet ,motorcycle ,43,12.418
29,4.5,Meal ,scooter ,12,8.938
32,4.7,Meal ,scooter ,31,6047.919
39,4.1,Drinks ,motorcycle ,39,20.443
31,4.4,Buffet ,motorcycle ,47,16.66
37,4.5,Buffet ,motorcycle ,26,7.601
36,4.9,Snack ,electric_scooter ,31,13.184
37,3.8,Snack ,motorcycle ,42,20.857
29,4.6,Meal ,scooter ,12,16612.239
38,4.9,Snack ,scooter ,25,6.232
37,4.4,Drinks ,motorcycle ,39,11.905
21,4.9,Buffet ,scooter ,21,13.682
35,4.9,Meal ,electric_scooter ,18,4.469
22,4.8,Snack ,scooter ,22,13.406
28,4.8,Buffet ,motorcycle ,23,3.074
39,4,Drinks ,motorcycle ,48,20.207
29,4.5,Snack ,scooter ,13,12.42
39,4.6,Drinks ,motorcycle ,32,3.105
25,4.9,Snack ,electric_scooter ,16,20.206
34,5,Snack ,electric_scooter ,19,4.674
22,4.8,Drinks ,motorcycle ,18,3.105
27,5,Buffet ,motorcycle ,27,10.444
28,4.5,Drinks ,motorcycle ,25,10.711
32,5,Drinks ,scooter ,31,4.674
29,4.6,Drinks ,scooter ,39,16.601
27,4.6,Snack ,motorcycle ,20,10.757
35,3.9,Snack ,motorcycle ,38,12.237
22,4.6,Buffet ,motorcycle ,19,4.664
35,4.7,Drinks ,electric_scooter ,17,4.718
30,4.6,Buffet ,motorcycle ,24,1.515
39,4.8,Drinks ,scooter ,26,3.109
33,4.8,Meal ,motorcycle ,28,9.22
20,4.7,Snack ,scooter ,16,12.257
20,4.7,Buffet ,motorcycle ,17,4.718
34,4.2,Snack ,motorcycle ,24,9.327
22,4.7,Meal ,motorcycle ,24,10.881
37,4.3,Meal ,scooter ,34,2.98
20,4.8,Snack ,motorcycle ,16,1.53
33,4.9,Drinks ,motorcycle ,26,7.602
21,5,Drinks ,motorcycle ,25,19.661
33,4.6,Meal ,motorcycle ,49,10.602
24,4.6,Snack ,electric_scooter ,24,12.42
36,4.7,Meal ,scooter ,32,3.145
30,4.6,Buffet ,motorcycle ,26,4.589
32,4.9,Buffet ,scooter ,24,13.83
28,4.6,Drinks ,electric_scooter ,16,19.976
21,4.7,Drinks ,scooter ,27,19.374
39,4.9,Drinks ,motorcycle ,25,3.053
32,4.7,Drinks ,motorcycle ,26,3.105
20,4.5,Buffet ,scooter ,25,9.179
29,4.6,Meal ,motorcycle ,26,4.718
36,5,Meal ,scooter ,15,1.49
28,4.8,Buffet ,scooter ,18,3.105
32,4.5,Buffet ,motorcycle ,30,7.661
39,4.4,Drinks ,scooter ,46,17.076
30,4.7,Drinks ,motorcycle ,24,16.721
32,4.4,Drinks ,motorcycle ,37,6.128
23,4.6,Snack ,motorcycle ,27,13.611
21,4.8,Buffet ,scooter ,27,6.119
31,4.2,Meal ,electric_scooter ,32,9.074
37,4.6,Buffet ,electric_scooter ,28,3.059
20,4.5,Drinks ,motorcycle ,29,7.602
28,4.5,Snack ,motorcycle ,27,1.49
22,4.9,Snack ,motorcycle ,11,1.555
20,4.7,Buffet ,motorcycle ,13,9.22
34,4.8,Buffet ,scooter ,27,19.619
38,4.8,Snack ,scooter ,25,6.209
29,4.6,Drinks ,scooter ,26,20.183
32,4.5,Buffet ,motorcycle ,27,6.036
34,4.9,Snack ,scooter ,26,16.853
33,3.9,Meal ,electric_scooter ,32,13.613
34,4.5,Meal ,motorcycle ,25,3.025
32,4.6,Meal ,motorcycle ,32,4.718
29,4.6,Drinks ,scooter ,42,10.867
34,4.7,Drinks ,motorcycle ,29,7.773
26,4.6,Buffet ,scooter ,32,10.641
31,4,Drinks ,motorcycle ,35,12.421
39,4.8,Drinks ,motorcycle ,27,6.081
27,4.8,Meal ,motorcycle ,15,1.573
32,5,Buffet ,scooter ,27,7.683
32,4.5,Meal ,motorcycle ,30,7.568
39,4.1,Snack ,motorcycle ,32,10.565
36,4.8,Meal ,electric_scooter ,25,1.532
37,4.1,Buffet ,motorcycle ,38,4.657
37,4.8,Meal ,scooter ,26,9.054
38,3.7,Meal ,motorcycle ,31,16.853
28,4.7,Drinks ,scooter ,28,3.018
34,3.8,Meal ,scooter ,31,16.852
32,4.9,Buffet ,motorcycle ,29,17.075
22,4.7,Buffet ,motorcycle ,17,8.938
31,4,Drinks ,motorcycle ,45,13.62
27,4,Meal ,motorcycle ,34,12.435
29,4.9,Drinks ,scooter ,24,17.137
38,4.8,Meal ,motorcycle ,44,9.348
35,4.8,Snack ,motorcycle ,36,7.602
31,4.9,Meal ,motorcycle ,28,4.658
30,4.3,Drinks ,scooter ,37,13.97
24,4.9,Snack ,motorcycle ,10,9.435
33,4.8,Drinks ,motorcycle ,23,13.83
29,4.6,Meal ,motorcycle ,22,10.279
38,4.6,Snack ,scooter ,26,6.118
26,4.9,Drinks ,motorcycle ,34,9.056
39,4.8,Buffet ,scooter ,26,6.29
24,4.5,Snack ,motorcycle ,21,17.298
34,4.2,Meal ,motorcycle ,28,9.193
26,4.7,Snack ,motorcycle ,14,8.943
35,4.7,Meal ,motorcycle ,17,6.051
36,4.2,Drinks ,motorcycle ,37,4.658
24,2.6,Drinks ,motorcycle ,42,16.66
29,4.6,Snack ,motorcycle ,17,11.008
33,4.3,Meal ,motorcycle ,34,16.826
26,4.6,Buffet ,motorcycle ,25,16.788
32,5,Buffet ,scooter ,30,17.074
37,4.9,Meal ,motorcycle ,48,13.404
26,4.9,Drinks ,scooter ,18,20.285
31,4.8,Drinks ,scooter ,28,20.254
37,4.6,Buffet ,motorcycle ,26,13.971
26,4.7,Drinks ,scooter ,16,16.827
37,4.8,Meal ,motorcycle ,25,4.538
22,4.6,Drinks ,motorcycle ,22,20.443
21,4.4,Drinks ,motorcycle ,15,4.561
22,4,Snack ,motorcycle ,28,1.552
38,4.5,Meal ,motorcycle ,20,1.552
28,4,Buffet ,motorcycle ,32,6.209
29,4.7,Meal ,scooter ,17,20.443
31,4.9,Drinks ,motorcycle ,38,6.059
24,4.8,Snack ,scooter ,14,3.041
33,4.8,Buffet ,motorcycle ,26,6.29
26,4.9,Snack ,motorcycle ,30,13.789
29,4.6,Meal ,scooter ,28,12.074
20,4.7,Snack ,scooter ,29,7.79
29,4.8,Buffet ,scooter ,12,19.762
32,4,Buffet ,motorcycle ,49,10.867
20,4.9,Meal ,motorcycle ,42,16.66
26,5,Meal ,electric_scooter ,24,10.867
38,4.8,Buffet ,motorcycle ,46,16.721
34,4.6,Meal ,electric_scooter ,27,6.177
27,4.5,Snack ,motorcycle ,13,2.98
29,5,Drinks ,motorcycle ,25,10.593
24,4.9,Drinks ,motorcycle ,24,19.761
21,4.9,Buffet ,motorcycle ,12,1.513
33,4.4,Drinks ,motorcycle ,24,1.465
35,4.7,Meal ,motorcycle ,29,9.056
35,4.7,Snack ,scooter ,18,12.464
29,4.6,Snack ,scooter ,20,17744.205
29,4.6,Buffet ,motorcycle ,13,4.663
29,4.8,Drinks ,motorcycle ,23,10.707
21,4.9,Buffet ,motorcycle ,19,12.256
29,4.6,Meal ,motorcycle ,29,17.079
22,4.7,Snack ,motorcycle ,24,13.973
29,4.6,Drinks ,scooter ,27,6.218
24,4.4,Meal ,scooter ,40,11.905
23,4.9,Snack ,scooter ,22,1.554
27,4.6,Drinks ,scooter ,12,1.552
33,4.1,Drinks ,motorcycle ,43,12.465
35,4.6,Meal ,scooter ,26,16.902
21,4.7,Buffet ,scooter ,27,4.674
39,4.4,Meal ,motorcycle ,35,13.97
34,4.8,Drinks ,scooter ,27,7.761
29,4.9,Drinks ,motorcycle ,27,6.081
20,4.7,Buffet ,scooter ,17,3.06
20,4.8,Drinks ,motorcycle ,17,11.008
30,4.7,Drinks ,motorcycle ,15,9.054
37,4.7,Buffet ,scooter ,39,19.087
39,4.6,Drinks ,motorcycle ,25,4.538
26,5,Drinks ,motorcycle ,18,16.904
32,4.9,Meal ,motorcycle ,48,12.58
21,4.7,Drinks ,scooter ,28,13.788
35,4.8,Snack ,scooter ,29,3.105
39,4.6,Buffet ,motorcycle ,32,4.527
39,5,Meal ,motorcycle ,41,20.184
27,4.9,Drinks ,motorcycle ,39,10.924
33,4.8,Drinks ,scooter ,16,4.657
33,4.8,Meal ,motorcycle ,48,19.977
37,4.7,Buffet ,motorcycle ,40,10.868
20,4.6,Drinks ,motorcycle ,11,3.116
20,4.6,Buffet ,motorcycle ,19,12.58
31,4.2,Drinks ,scooter ,35,10.725
27,4.6,Buffet ,electric_scooter ,16,3.116
37,4.9,Drinks ,scooter ,15,7.573
34,4.4,Buffet ,scooter ,31,7.763
25,4.7,Snack ,motorcycle ,11,9.348
37,4.7,Meal ,motorcycle ,22,7.632
23,4.7,Meal ,scooter ,16,10.924
27,5,Drinks ,motorcycle ,24,6.218
36,4.7,Snack ,electric_scooter ,16,3.074
30,4.3,Snack ,motorcycle ,42,20.854
20,4.9,Drinks ,motorcycle ,31,1.573
28,4.7,Snack ,scooter ,31,10.906
36,4,Buffet ,motorcycle ,33,3.145
20,4.7,Drinks ,scooter ,16,7.762
22,4.7,Buffet ,motorcycle ,16,16.854
28,4.7,Buffet ,motorcycle ,25,17.097
34,4.8,Buffet ,electric_scooter ,18,1.52
25,4.8,Drinks ,scooter ,26,16.66
38,5,Meal ,scooter ,34,7.632
34,3.5,Snack ,motorcycle ,32,11.918
24,4.9,Drinks ,motorcycle ,22,16.66
33,4.6,Snack ,motorcycle ,50,13.583
21,4.6,Snack ,scooter ,16,3.027
25,4.6,Drinks ,motorcycle ,23,9.081
23,4.9,Buffet ,motorcycle ,19,6.059
34,4.9,Snack ,motorcycle ,25,7.325
25,4.7,Snack ,scooter ,37,10.757
28,4.9,Drinks ,electric_scooter ,10,13.481
34,3.7,Buffet ,scooter ,34,16.852
24,4.5,Meal ,scooter ,14,16.382
31,5,Buffet ,motorcycle ,26,9.314
38,4.6,Buffet ,scooter ,30,9.176
32,4.8,Buffet ,motorcycle ,17,13.217
28,5,Buffet ,motorcycle ,29,13.736
29,4.5,Drinks ,motorcycle ,37,13.406
28,4.8,Drinks ,electric_scooter ,23,20.178
39,4.8,Drinks ,motorcycle ,30,7.772
39,4.8,Buffet ,scooter ,29,11.008
26,4.8,Buffet ,scooter ,14,3.025
33,4.8,Buffet ,electric_scooter ,28,4.539
37,4.9,Drinks ,scooter ,27,4.494
29,4.6,Drinks ,scooter ,24,9.316
24,4.6,Snack ,motorcycle ,16,14.022
36,5,Meal ,motorcycle ,43,12.21
22,4.7,Snack ,motorcycle ,44,13.631
21,4.6,Meal ,motorcycle ,22,4.611
29,5,Buffet ,scooter ,16,7.601
33,4.7,Drinks ,scooter ,18,3.105
27,4.1,Drinks ,motorcycle ,16,3.019
29,4.6,Drinks ,motorcycle ,24,19.976
30,4.2,Buffet ,motorcycle ,46,10.641
22,4.8,Buffet ,motorcycle ,26,12.58
20,4.9,Drinks ,scooter ,17,10.906
31,4.4,Buffet ,motorcycle ,44,10.867
36,4.6,Drinks ,scooter ,17,4.561
39,4.9,Snack ,motorcycle ,43,11.918
32,4.7,Meal ,motorcycle ,41,16.903
23,4.2,Drinks ,motorcycle ,34,11.008
30,3.8,Buffet ,scooter ,40,12.162
26,4.7,Meal ,scooter ,16,3.025
29,4.6,Buffet ,motorcycle ,23,1.555
21,4.9,Buffet ,motorcycle ,13,1.52
23,4.6,Drinks ,scooter ,29,4.674
22,4.9,Meal ,motorcycle ,24,3.041
39,4.5,Drinks ,motorcycle ,16,4.561
32,4.1,Drinks ,scooter ,34,7.761
25,4.7,Drinks ,motorcycle ,20,16.389
30,5,Snack ,motorcycle ,28,6.081
25,4.8,Drinks ,scooter ,30,20.182
26,4.7,Snack ,scooter ,14,14.022
30,4.6,Snack ,motorcycle ,30,6.232
31,4.3,Drinks ,motorcycle ,25,2.977
33,4.8,Buffet ,motorcycle ,28,12.1
20,5,Drinks ,scooter ,17,9.177
36,4.3,Meal ,scooter ,33,20.206
20,4.9,Snack ,motorcycle ,36,13.79
29,4.6,Buffet ,scooter ,16,17118.828
38,4.1,Snack ,scooter ,38,14.153
37,4.7,Meal ,motorcycle ,25,9.088
28,5,Buffet ,scooter ,40,16.385
39,3.5,Meal ,motorcycle ,32,12.42
31,4,Snack ,scooter ,42,12.294
30,4.9,Snack ,motorcycle ,27,7.683
27,4.9,Drinks ,motorcycle ,25,13.622
30,4.9,Drinks ,motorcycle ,24,7.661
29,4.5,Snack ,scooter ,30,20.184
35,4.5,Meal ,motorcycle ,22,19.343
34,4.9,Snack ,motorcycle ,31,3.026
37,4.8,Buffet ,scooter ,16,12.464
34,4.9,Meal ,motorcycle ,25,4.469
31,4.9,Buffet ,scooter ,16,3.145
23,4.1,Meal ,electric_scooter ,32,9.22
29,4.7,Snack ,motorcycle ,20,7.563
20,4.9,Meal ,motorcycle ,11,3.145
26,4.1,Meal ,motorcycle ,21,9.192
34,4.5,Snack ,motorcycle ,44,12.58
34,4.9,Snack ,motorcycle ,19,7.632
21,4.7,Buffet ,scooter ,11,4.596
35,4.6,Snack ,motorcycle ,23,10.906
20,4.7,Snack ,electric_scooter ,12,16.384
24,4.1,Buffet ,electric_scooter ,39,19.884
25,4.5,Snack ,scooter ,16,6.211
22,4.8,Drinks ,scooter ,17,4.59
38,4.7,Meal ,motorcycle ,24,13.58
29,4.3,Meal ,scooter ,33,6.211
24,4.8,Snack ,scooter ,29,17.079
36,4.8,Buffet ,motorcycle ,42,20.555
31,4.7,Buffet ,electric_scooter ,28,7.447
20,4.8,Snack ,scooter ,25,4.663
25,4.6,Snack ,scooter ,16,7.55
23,5,Meal ,scooter ,11,17.079
39,4.7,Buffet ,motorcycle ,34,7.447
21,4.7,Snack ,motorcycle ,35,17.098
32,4.7,Drinks ,scooter ,25,6.05
36,4.9,Drinks ,motorcycle ,15,19.619
38,4.8,Snack ,motorcycle ,49,10.906
34,4.3,Snack ,motorcycle ,35,17.078
23,2.5,Buffet ,motorcycle ,34,16.721
32,3.6,Meal ,scooter ,39,20.207
31,4.8,Meal ,motorcycle ,26,1.552
22,4.6,Buffet ,motorcycle ,11,12.435
34,3.9,Drinks ,electric_scooter ,33,12.435
39,4.8,Meal ,motorcycle ,47,19.618
21,5,Buffet ,motorcycle ,25,11.923
34,3.9,Meal ,scooter ,37,13.831
29,4.6,Snack ,motorcycle ,29,2740.281
28,4.9,Meal ,motorcycle ,15,12.417
